iter	MultiClass
0	1.097631107
1	1.096338206
2	1.095039479
3	1.09402423
4	1.093171695
5	1.092236374
6	1.091273027
7	1.090328791
8	1.089285667
9	1.088224272
10	1.08746874
11	1.086692263
12	1.085953664
13	1.085261888
14	1.084507485
15	1.083787259
16	1.082963878
17	1.08214649
18	1.081259716
19	1.080242112
20	1.07939353
21	1.078890146
22	1.078177927
23	1.077530998
24	1.076697792
25	1.075739406
26	1.074869152
27	1.073915428
28	1.07317624
29	1.072532748
30	1.07205271
31	1.071236106
32	1.070308554
33	1.069063049
34	1.068127559
35	1.067394207
36	1.066435585
37	1.06568523
38	1.06479779
39	1.063720636
40	1.062824759
41	1.062053789
42	1.061113719
43	1.059999253
44	1.059025812
45	1.0579331
46	1.057333402
47	1.056463844
48	1.055528086
49	1.054690402
50	1.053818792
51	1.0529364
52	1.051903116
53	1.05127851
54	1.050569317
55	1.049408368
56	1.048637115
57	1.047990404
58	1.047305872
59	1.046571298
60	1.045960429
61	1.044809494
62	1.043659222
63	1.042805577
64	1.041893043
65	1.041053048
66	1.040198981
67	1.039083639
68	1.038030927
69	1.0374275
70	1.036648277
71	1.035567782
72	1.034786738
73	1.033888698
74	1.03272763
75	1.031917504
76	1.030940153
77	1.030454766
78	1.029313634
79	1.028623861
80	1.027955588
81	1.026917113
82	1.026107305
83	1.025260788
84	1.024479966
85	1.023638889
86	186	1.01828987	187	1.01763288	188	1.0168489	1.89	1.0160190	1.90	1.0152491	1.018911852
92	1.018199612
93	1.93	1.0129194	1.94	1.0121495	1.015915609
96	1.96	1.0104997	1.97	1.009428537
98	1.008441049
99	1.007456474
100	1.006466499
101	1.005555038
102	1.004842175
103	1.004088032
104	1.003160481
105	1.002348571
106	1.001528671
107	1.000692452
108	1.000204025
109	0.9991906578
110	0.9985315638
111	0.9977958583
112	0.9973216622
113	0.9965238979
114	0.9956147749
115	0.9947762243
116	0.9939654598
117	0.9930676524
118	0.9922580533
119	0.9916358987
120	0.9912265348
121	0.9906186147
122	0.9898820022
123	0.9891273644
124	0.9883509226
125	0.9876406847
126	0.9867445603
127	0.9859211638
128	0.9851535638
129	0.9845498036
130	0.9837594385
131	0.9830187559
132	0.982354522
133	0.9815911501
134	0.9808480259
135	0.9800113108
136	0.9791306986
137	0.9786431009
138	0.9777025693
139	0.9771380275
140	0.9764864701
141	0.9759769061
142	0.9751967369
143	0.974664349
144	0.9739599292
145	0.9734959292
146	0.9728240165
147	0.9719036055
148	0.9712770828
149	0.9704058486
150	0.969516675
151	0.9689166661
152	0.9683671246
153	0.9680579763
154	0.9673277395
155	0.9663623409
156	0.9657702063
157	0.9650343406
158	0.9642490669
159	0.9634768766
160	0.9628202115
161	0.9623597589
162	0.9613531748
163	0.9604883958
164	0.9597940502
165	0.9593832884
166	0.958643916
167	0.9580719106
168	0.9574627897
169	0.9566217887
170	0.9561132287
171	0.9554325027
172	0.9548721675
173	0.9541040452
174	0.9532462646
175	0.9525011282
176	0.9516775972
177	0.9508746043
178	0.9501176337
179	0.9494071139
180	0.9486526765
181	0.9479218951
182	0.9473458402
183	0.9467952512
184	0.9458057145
185	0.9451018152
186	0.9443525556
187	0.9436578795
188	0.9430035497
189	0.9424603133
190	0.9419447285
191	0.9409986103
192	0.940434623
193	0.9399414629
194	0.9392446036
195	0.9385926664
196	0.9378369663
197	0.9367448581
198	0.9360312578
199	0.9354039841
200	0.9348745579
201	0.9342139138
202	0.9335883029
203	0.9329476101
204	0.9322535105
205	0.9315422665
206	0.9311266617
207	0.9306546582
208	0.9299987741
209	0.9293037919
210	0.928884565
211	0.9284000617
212	0.9276982688
213	0.9272870905
214	0.9266928155
215	0.9256400953
216	0.924986895
217	0.9242020042
218	0.923646885
219	0.9227759671
220	0.922396932
221	0.9219023587
222	0.9209661158
223	0.92033488
224	0.9195798951
225	0.9189758119
226	0.9185671737
227	0.9178641493
228	0.9169579835
229	0.916284366
230	0.9156016625
231	0.9149377503
232	0.9142552208
233	0.9137514879
234	0.9131874952
235	0.912710627
236	0.9120285663
237	0.9114011881
238	0.910648093
239	0.9099213856
240	0.9091390662
241	0.908609412
242	0.9080733667
243	0.9073493646
244	0.9067352429
245	0.9060409398
246	0.9053532393
247	0.9047319769
248	0.9041834084
249	0.9036074121
250	0.9028628938
251	0.9019669158
252	0.9010699558
253	0.9003047555
254	0.8996836557
255	0.8989656398
256	0.898472261
257	0.897804066
258	0.8973936335
259	0.8966515715
260	0.8959434469
261	0.895498879
262	0.8949183578
263	0.894178137
264	0.8934252913
265	0.8926045492
266	0.8916963836
267	0.8909340313
268	0.8902361154
269	0.8896047992
270	0.8888933892
271	0.8880682566
272	0.887141631
273	0.8865281586
274	0.8857537224
275	0.8852540885
276	0.8847240731
277	0.8840763714
278	0.8834429668
279	0.8824441689
280	0.8818964745
281	0.8813763632
282	0.8805938806
283	0.8798747245
284	0.8791615867
285	0.8783765996
286	0.8777732695
287	0.8769339385
288	0.8762476879
289	0.8758511064
290	0.8754450326
291	0.8746734259
292	0.8738758152
293	0.8732507602
294	0.8725851559
295	0.8719751468
296	0.8714953461
297	0.8710452988
298	0.8704108174
299	0.8699894346
