iter	Passed	Remaining
0	183	54937
1	214	32030
2	247	24515
3	281	20795
4	312	18441
5	341	16730
6	372	15599
7	395	14430
8	421	13644
9	475	13797
10	530	13948
11	569	13670
12	599	13242
13	627	12814
14	644	12248
15	673	11956
16	705	11752
17	733	11495
18	760	11245
19	789	11056
20	830	11030
21	861	10887
22	885	10661
23	905	10410
24	922	10149
25	941	9922
26	964	9750
27	983	9550
28	1005	9391
29	1033	9300
30	1061	9213
31	1084	9081
32	1105	8944
33	1124	8794
34	1143	8659
35	1169	8575
36	1195	8498
37	1214	8373
38	1230	8236
39	1255	8158
40	1270	8027
41	1287	7910
42	1309	7828
43	1328	7732
44	1348	7642
45	1376	7600
46	1400	7538
47	1429	7502
48	1454	7451
49	1472	7361
50	1490	7279
51	1511	7210
52	1528	7124
53	1542	7027
54	1559	6946
55	1589	6924
56	1610	6865
57	1625	6780
58	1653	6754
59	1675	6700
60	1695	6644
61	1718	6596
62	1735	6565	63	1757	6466	64	1775	6467	1794	6124
68	1825	6112
69	1849	6076
70	1868	6026
71	1903	6027
72	1919	5969
73	1951	5958
74	1981	5943
75	2005	5911
76	74	2045	6177	2056	5852
78	2079	5817
79	2116	5819
80	2135	5773
81	2167	5763
82	2186	5715
83	2208	5678
84	2229	5639
85	2257	5617
86	2281	5586
87	2312	5570
88	2343	5555
89	2386	5568
90	2408	5531
91	2425	5483
92	2448	5449
93	2484	5444
94	2514	5427
95	2580	5482
96	2634	5513
97	2673	5510
98	2701	5484
99	2748	5496
100	2775	5468
101	2805	5446
102	2836	5425
103	2862	5395
104	2902	5390
105	2929	5361
106	2984	5384
107	3025	5378
108	3055	5354
109	3081	5322
110	3103	5283
111	3157	5300
112	3180	5262
113	3211	5239
114	3238	5209
115	3269	5186
116	3298	5158
117	3313	5110
118	3337	5077
119	3370	5055
120	3394	5021
121	3412	4978
122	3448	4961
123	3488	4951
124	3510	4914
125	3543	4892
126	3566	4858
127	3586	4818
128	3610	4785
129	3628	4745
130	3651	4710
131	3673	4674
132	3689	4632
133	3717	4604
134	3742	4574
135	3764	4539
136	3788	4507
137	3819	4483
138	3842	4450
139	3873	4426
140	3891	4387
141	3905	4345
142	3928	4313
143	3988	4320
144	4017	4294
145	4040	4262
146	4066	4232
147	4088	4199
148	4110	4166
149	4164	4164
150	4198	4142
151	4235	4124
152	4257	4090
153	4276	4054
154	4292	4016
155	4318	3985
156	4334	3947
157	4365	3923
158	4389	3892
159	4414	3862
160	4430	3825
161	4447	3788
162	4467	3754
163	4485	3719
164	4506	3687
165	4526	3654
166	4546	3620
167	4576	3595
168	4599	3565
169	4617	3530
170	4645	3504
171	4661	3468
172	4675	3432
173	4693	3398
174	4709	3363
175	4729	3332
176	4746	3298
177	4765	3266
178	4777	3229
179	4792	3195
180	4807	3160
181	4827	3130
182	4845	3097
183	4870	3070
184	4889	3039
185	4912	3010
186	4934	2982
187	4964	2957
188	4978	2923
189	4992	2890
190	5007	2857
191	5022	2825
192	5042	2795
193	5058	2763
194	5074	2732
195	5091	2701
196	5109	2671
197	5126	2640
198	5143	2610
199	5159	2579
200	5178	2550
201	5193	2519
202	5217	2493
203	5230	2461
204	5250	2433
205	5264	2402
206	5292	2377
207	5305	2346
208	5329	2320
209	5344	2290
210	5362	2261
211	5382	2234
212	5401	2206
213	5418	2177
214	5435	2148
215	5449	2119
216	5470	2092
217	5494	2066
218	5513	2039
219	5532	2011
220	5548	1983
221	5564	1955
222	5588	1929
223	5607	1902
224	5629	1876
225	5649	1849
226	5671	1824
227	5687	1796
228	5706	1769
229	5726	1742
230	5742	1715
231	5756	1687
232	5773	1660
233	5787	1632
234	5805	1605
235	5820	1578
236	5840	1552
237	5854	1525
238	5869	1498
239	5886	1471
240	5899	1444
241	5912	1416
242	5925	1389
243	5937	1362
244	5950	1335
245	5963	1309
246	5974	1281
247	5996	1257
248	6095	1248
249	6110	1222
250	6120	1194
251	6135	1168
252	6145	1141
253	6152	1114
254	6164	1087
255	6172	1060
256	6184	1034
257	6194	1008
258	6207	982
259	6218	956
260	6232	931
261	6241	905
262	6252	879
263	6264	854
264	6272	828
265	6281	802
266	6289	777
267	6298	752
268	6307	726
269	6315	701
270	6324	676
271	6333	651
272	6341	627
273	6350	602
274	6357	577
275	6367	553
276	6375	529
277	6384	505
278	6392	481
279	6401	457
280	6412	433
281	6420	409
282	6430	386
283	6439	362
284	6448	339
285	6458	316
286	6468	293
287	6479	269
288	6490	247
289	6500	224
290	6505	201
291	6512	178
292	6521	155
293	6529	133
294	6535	110
295	6541	88
296	6547	66
297	6553	43
298	6559	21
299	6565	0
298	6024	20
299	6035	0
